project_id,name,client_id,team_id,status,budget_minor_units,currency,start_date,end_date,owner_employee_id
1,HSBC UK - Finance transformation phase 1,1,1,completed,10200000,GBP,2024-08-13,2025-09-03,10
2,HSBC UK - Risk review phase 2,1,6,active,21250000,GBP,2025-03-25,,18
3,HSBC UK - Compliance audit phase 3,1,8,active,4250000,GBP,2024-09-23,,15
4,HSBC UK - Cost optimization phase 4,1,3,completed,2125000,GBP,2026-03-26,2026-04-05,17
5,Gillet SA - Org redesign phase 1,2,3,active,50000000,EUR,2025-01-07,,17
6,Gillet SA - Org redesign phase 2,2,3,active,2500000,EUR,2025-05-11,,13
7,Gillet SA - Compliance audit phase 3,2,8,active,5000000,EUR,2024-03-22,,11
8,Gillet SA - Operations uplift phase 4,2,7,active,2500000,EUR,2025-07-29,,20
9,Marques Group - Risk review phase 1,3,6,pipeline,50000000,EUR,2026-09-26,,14
10,Marques Group - Finance transformation phase 2,3,1,pipeline,12000000,EUR,2026-10-15,,10
11,Marques Group - Cloud migration phase 3,3,2,active,50000000,EUR,2024-06-25,,9
12,Marques Group - Data platform phase 4,3,2,active,50000000,EUR,2025-01-05,,9
13,Fleury SE - Risk review phase 1,4,6,active,5000000,EUR,2024-07-06,,18
14,Fleury SE - Cloud migration phase 2,4,2,active,50000000,EUR,2024-10-04,,9
15,Fleury SE - Compliance audit phase 3,4,8,pipeline,5000000,EUR,2026-07-23,,12
16,Fleury SE - Compliance audit phase 4,4,8,active,5000000,EUR,2024-03-18,,11
17,Marty S.A. Group - Finance transformation phase 1,5,1,active,5000000,EUR,2024-12-15,,10
18,Marty S.A. Group - Org redesign phase 2,5,3,active,5000000,EUR,2025-06-29,,17
19,Marty S.A. Group - Org redesign phase 3,5,3,completed,2500000,EUR,2024-11-02,2025-01-21,8
20,Marty S.A. Group - Compliance audit phase 4,5,8,active,2500000,EUR,2026-01-26,,12
21,Hoarau S.A. Group - Cost optimization phase 1,6,3,active,50000000,EUR,2024-02-25,,8
22,Hoarau S.A. Group - Data platform phase 2,6,2,active,25000000,EUR,2025-11-13,,11
23,Hoarau S.A. Group - Org redesign phase 3,6,3,active,50000000,EUR,2024-03-17,,17
24,Hoarau S.A. Group - Data platform phase 4,6,2,completed,25000000,EUR,2024-03-20,2025-09-29,15
25,Marchand Reynaud et Fils Group - Risk review phase 1,7,6,active,50000000,EUR,2025-10-27,,14
26,Marchand Reynaud et Fils Group - Compliance audit phase 2,7,8,completed,25000000,EUR,2025-04-01,2025-11-09,20
27,Marchand Reynaud et Fils Group - Finance transformation phase 3,7,1,active,2500000,EUR,2025-04-05,,10
28,Marchand Reynaud et Fils Group - Cost optimization phase 4,7,3,active,25000000,EUR,2024-09-27,,17
29,Bonnin Group - Data platform phase 1,8,2,active,25000000,EUR,2024-04-10,,15
30,Bonnin Group - Operations uplift phase 2,8,7,active,2500000,EUR,2024-10-16,,11
31,Bonnin Group - Org redesign phase 3,8,3,active,50000000,EUR,2025-06-29,,8
32,Bonnin Group - Data platform phase 4,8,2,completed,5000000,EUR,2025-09-07,2026-03-16,11
33,Merle S.A. SE - Org redesign phase 1,9,3,completed,25000000,EUR,2025-08-14,2026-04-07,17
34,Merle S.A. SE - Compliance audit phase 2,9,8,active,25000000,EUR,2025-05-07,,18
35,Merle S.A. SE - Cost optimization phase 3,9,3,completed,2500000,EUR,2024-10-15,2025-08-27,17
36,Merle S.A. SE - Data platform phase 4,9,2,pipeline,50000000,EUR,2026-09-27,,15
37,Chauvin SE - Risk review phase 1,10,6,active,25000000,EUR,2024-07-02,,18
38,Chauvin SE - Risk review phase 2,10,6,active,25000000,EUR,2024-03-29,,18
39,Chauvin SE - Operations uplift phase 3,10,7,completed,25000000,EUR,2025-11-24,2026-01-15,16
40,Chauvin SE - Data platform phase 4,10,2,active,12000000,EUR,2025-09-17,,11
41,Pottier SA - Org redesign phase 1,11,3,pipeline,12000000,EUR,2026-11-08,,13
42,Pottier SA - Cloud migration phase 2,11,2,completed,25000000,EUR,2025-11-24,2026-04-11,9
43,Pottier SA - Data platform phase 3,11,2,active,2500000,EUR,2025-11-02,,9
44,Pottier SA - Cost optimization phase 4,11,3,completed,2500000,EUR,2025-05-18,2025-12-17,17
45,Peltier SE - Org redesign phase 1,12,3,active,5000000,EUR,2024-01-22,,17
46,Peltier SE - Finance transformation phase 2,12,1,active,50000000,EUR,2026-01-31,,10
47,Peltier SE - Data platform phase 3,12,2,completed,25000000,EUR,2025-11-11,2025-12-22,11
48,Peltier SE - Cost optimization phase 4,12,3,completed,2500000,EUR,2024-05-27,2025-09-22,13
49,Richard SE - Compliance audit phase 1,13,8,completed,12000000,EUR,2024-09-10,2025-03-26,11
50,Richard SE - Risk review phase 2,13,6,active,5000000,EUR,2024-01-06,,18
51,Richard SE - Risk review phase 3,13,6,active,2500000,EUR,2025-12-14,,18
52,Richard SE - Org redesign phase 4,13,3,completed,2500000,EUR,2025-04-09,2025-09-04,13
53,Étienne Group - Risk review phase 1,14,6,completed,25000000,EUR,2024-04-26,2025-07-25,14
54,Étienne Group - Compliance audit phase 2,14,8,active,2500000,EUR,2024-01-26,,12
